Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2022-02-14,135.03648376464844,135.80769015978873,132.77518042359773,132.77518042359773,34302000
2022-02-15,136.1150665283203,137.60964843169666,135.3309066687984,137.07358211363078,26680000
2022-02-16,137.24050903320312,137.58724406028705,134.43666237180733,136.15294450227287,25022000
2022-02-17,132.06027221679688,136.61824261090376,131.99998964739044,135.7508881841527,38950000
2022-02-18,129.93199157714844,133.58575399879967,129.72624024100966,132.984919959572,45620000
2022-02-22,129.34461975097656,131.70305930479284,127.76035128771632,129.36902164807677,44990000
2022-02-23,127.12715148925781,131.5740286454837,127.06686891969255,131.17298611837336,32786000
2022-02-24,132.2117156982422,132.51960530986702,124.5021680331408,124.5021680331408,54456000
2022-02-25,133.97384643554688,134.78291003064567,131.2756197259843,133.06962303509766,36406000
2022-02-28,134.56919860839844,135.26117873215517,132.1135920322143,132.56944385913786,38864000
2022-03-01,133.57725524902344,135.7633306405831,132.7373131052674,134.39130553688372,26496000
2022-03-02,134.08543395996094,134.77393236956735,132.5908519204788,134.14173316744186,23520000
2022-03-03,133.41586303710938,135.94668191370513,132.5450117600383,135.51872888123256,24604000
2022-03-04,131.43003845214844,133.36802027083928,129.86670554907704,132.4473618386773,30430000
2022-03-07,125.92202758789062,131.25917883811977,125.83882547699304,131.01307695249176,45112000
2022-03-08,126.64540100097656,130.77592772343985,125.22056582723054,125.79398761968977,40428000
2022-03-09,132.93809509277344,133.25246149016016,129.43130653433462,130.7759347952661,37026000
2022-03-10,131.951171875,132.79062756683956,130.43965294916046,130.7918764796572,27102000
2022-03-11,129.4014129638672,133.31223910249224,129.16327780099954,133.00634115976752,31526000
2022-03-14,125.49606323242188,129.9379611837264,124.82251004302125,129.77953889503618,38812000
2022-03-15,128.7313232421875,129.3854612705248,125.26638337315536,126.51734918467436,30920000
2022-03-16,132.79910278320312,132.8514034266474,128.26951737639257,130.2608035608324,35576000
2022-03-17,133.35557556152344,133.59620411047092,131.7075429071821,132.66806542167348,28264000
2022-03-18,135.6338348388672,135.75190658807435,131.78079759214177,132.94258650737024,44566000
2022-03-21,135.60989379882812,136.55496933499083,133.60814776446165,135.67166632345658,26832000
2022-03-22,139.36280822753906,140.54054578335717,135.60991764590503,135.60991764590503,35496000
2022-03-23,137.7760467529297,139.0843077281052,137.33714708144754,138.20150637627583,25154000
2022-03-24,141.06065368652344,141.10748100525953,137.2529541189332,138.69721201374352,26396000
